SubjectID,StimulusType,response,RT
1001,1,1,668
1001,0,0,0
1001,1,1,389
1001,1,1,454
1001,1,1,362
1001,1,1,377
1001,1,1,376
1001,1,1,364
1001,0,0,0
1001,0,0,0
1001,1,1,383
1001,1,1,410
1001,1,1,378
1001,1,1,317
1001,1,1,311
1001,1,1,287
1001,1,1,322
1001,1,1,314
1001,0,0,0
1001,1,1,592
1001,1,1,391
1001,1,1,382
1001,1,1,407
1001,1,1,386
1001,1,1,391
1001,1,1,357
1001,1,1,357
1001,1,1,374
1001,1,1,424
1001,1,1,425
1001,1,1,391
1001,1,1,431
1001,1,1,400
1001,1,1,349
1001,1,1,397
1001,1,1,428
1001,1,1,378
1001,1,1,411
1001,1,1,429
1001,1,1,410
1001,0,0,0
1001,1,1,526
1001,1,1,430
1001,1,1,363
1001,0,0,0
1001,0,0,0
1001,1,1,460
1001,0,1,392
1001,0,0,0
1001,0,0,0
1001,1,1,477
1001,1,1,393
1001,0,0,0
1001,0,0,0
1001,1,1,426
1001,1,1,378
1001,1,1,354
1001,1,1,346
1001,1,1,415
1001,1,1,381
1001,1,1,340
1001,1,1,384
1001,0,0,0
1001,1,1,679
1001,1,1,394
1001,1,1,350
1001,1,1,414
1001,1,1,365
1001,1,1,399
1001,0,0,0
1001,0,0,0
1001,1,1,553
1001,0,0,0
1001,1,1,526
1001,1,1,425
1001,0,0,0
1001,1,1,619
1001,1,1,404
1001,1,1,374
1001,1,1,380
1001,1,1,362
1001,1,1,363
1001,1,1,412
1001,1,1,395
1001,1,1,378
1001,1,1,446
1001,0,0,0
1001,0,0,0
1001,1,1,678
1001,0,0,0
1001,1,1,595
1001,1,1,412
1001,1,1,314
1001,1,1,332
1001,1,1,346
1001,1,1,396
1001,1,1,410
1001,1,1,377
1001,1,1,346
1001,1,1,362
1002,1,1,608
1002,1,1,348
1002,1,1,298
1002,1,1,312
1002,1,1,264
1002,1,1,264
1002,1,1,280
1002,0,1,229
1002,1,1,345
1002,1,1,265
1002,1,1,296
1002,1,1,297
1002,1,1,361
1002,1,1,329
1002,1,1,297
1002,1,1,359
1002,1,1,292
1002,1,1,329
1002,1,1,344
1002,1,1,264
1002,1,1,296
1002,1,1,298
1002,1,1,285
1002,1,1,282
1002,1,1,300
1002,1,1,312
1002,1,1,312
